row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
53,"AL, Barbour, 01005950900",1005950900,"+31.8467221,-085.1462332",0.631202545,0.83590877,0.625949758,0.743840705,0.436496111,0.602234376,0.675650915,0.498337184
54,"AL, Bibb, 01007010001",1007010001,"+33.0791483,-087.1730915",0.544167291,0.68225736,0.492632451,0.540746044,0.367410897,0.599307115,0.613007172,0.513809994
55,"AL, Bibb, 01007010002",1007010002,"+33.1824189,-087.0823493",0.581017224,0.704469699,0.499540563,0.716184598,0.340961595,0.614825759,0.688134439,0.503003914
56,"AL, Bibb, 01007010003",1007010003,"+32.9533249,-087.0043466",0.54714095,0.642833494,0.362360435,0.665238056,0.34784879,0.609814676,0.683420113,0.518471083
57,"AL, Bibb, 01007010004",1007010004,"+32.9480029,-087.2803484",0.590015529,0.74200675,0.624362095,0.699058809,0.26933903,0.607588739,0.688078673,0.49967461
58,"AL, Blount, 01009050101",1009050101,"+33.8723927,-086.4590322",0.587178425,0.647499874,0.533506592,0.660772593,0.286776855,0.745087741,0.745570604,0.491034714
59,"AL, Blount, 01009050102",1009050102,"+33.9542982,-086.4647749",0.596703792,0.707613393,0.523104606,0.673735934,0.272852375,0.741989179,0.764504079,0.493126982
60,"AL, Blount, 01009050200",1009050200,"+33.9978254,-086.5439150",0.566270702,0.725334143,0.506898535,0.522070964,0.285028372,0.704251533,0.734045939,0.486265429
61,"AL, Blount, 01009050300",1009050300,"+34.0765310,-086.3904992",0.589851784,0.749699752,0.570825543,0.6047624,0.261146455,0.679770834,0.743724862,0.51903264
62,"AL, Blount, 01009050400",1009050400,"+34.1660342,-086.4971736",0.576964799,0.734422214,0.507236811,0.599713267,0.303554829,0.644667113,0.738833714,0.510325645
63,"AL, Blount, 01009050500",1009050500,"+34.0336436,-086.6367701",0.591035244,0.72297599,0.530930641,0.691948024,0.309135742,0.625143517,0.761413787,0.495699004
64,"AL, Blount, 01009050601",1009050601,"+33.8702243,-086.8933575",0.553435515,0.624106946,0.392646463,0.667647249,0.363274854,0.618661426,0.723442105,0.48426956
65,"AL, Blount, 01009050602",1009050602,"+33.9037194,-086.7801274",0.554138197,0.549930985,0.383228798,0.636005792,0.385026241,0.604430989,0.833133845,0.487210729
66,"AL, Blount, 01009050700",1009050700,"+33.8404896,-086.6351103",0.590906431,0.714014772,0.487748599,0.723973016,0.292277796,0.635468745,0.793955698,0.488906391
67,"AL, Bullock, 01011952100",1011952100,"+32.1157274,-085.5267341",0.630663149,0.802039328,0.642187343,0.73130193,0.298554743,0.702011932,0.702523257,0.536023506
68,"AL, Bullock, 01011952200",1011952200,"+32.1567000,-085.7015280",0.629704567,0.748187534,0.624482034,0.709831304,0.322167785,0.698741304,0.783991606,0.520530404
69,"AL, Bullock, 01011952500",1011952500,"+32.0821273,-085.8274935",0.586691457,0.716546284,0.531904586,0.690528159,0.274763043,0.649659237,0.725689561,0.517749332
70,"AL, Butler, 01013952700",1013952700,"+31.8946556,-086.5914052",0.576053259,0.829471575,0.418451233,0.534370321,0.397205161,0.620242378,0.744687558,0.487944589
71,"AL, Butler, 01013952800",1013952800,"+31.8377273,-086.6283195",0.528725491,0.705230566,0.306473338,0.536177811,0.385305455,0.620478487,0.703035273,0.444377508
72,"AL, Butler, 01013952900",1013952900,"+31.8483454,-086.6763112",0.604113949,0.84442056,0.548702748,0.582967283,0.401254412,0.626929896,0.740175896,0.484346847
73,"AL, Butler, 01013953000",1013953000,"+31.8617983,-086.7608112",0.551068337,0.816871624,0.405173596,0.606962372,0.195273727,0.61657895,0.719868656,0.496749435
74,"AL, Butler, 01013953100",1013953100,"+31.7968287,-086.6541421",0.61215224,0.852164403,0.667206972,0.51682825,0.377703935,0.638027903,0.747226983,0.485907229
75,"AL, Butler, 01013953200",1013953200,"+31.7820079,-086.5213679",0.584858346,0.833098357,0.517825444,0.535088293,0.285199571,0.622100978,0.796957279,0.503738501
76,"AL, Butler, 01013953300",1013953300,"+31.7134193,-086.7523391",0.565202841,0.773600808,0.406461977,0.624301483,0.292230813,0.624270215,0.72938572,0.506168872
77,"AL, Butler, 01013953400",1013953400,"+31.5996272,-086.8184215",0.614763833,0.885197249,0.632397774,0.62111395,0.286535871,0.616240165,0.763725766,0.498136053
78,"AL, Butler, 01013953500",1013953500,"+31.5750830,-086.6086952",0.571444697,0.906951696,0.493039041,0.612041085,0.204900971,0.562195651,0.714463367,0.506521066
79,"AL, Calhoun, 01015000200",1015000200,"+33.6737791,-085.8165719",0.642438421,0.78301411,0.525682222,0.805510227,0.470197707,0.715336276,0.752680313,0.44464809
80,"AL, Calhoun, 01015000300",1015000300,"+33.6759496,-085.8313606",0.678684208,0.833687044,0.643786015,0.893650338,0.541524525,0.726228879,0.698986501,0.412926152
81,"AL, Calhoun, 01015000400",1015000400,"+33.6823088,-085.8697658",0.694396853,0.856319587,0.788671536,0.87730915,0.442914266,0.69250628,0.753443364,0.44961379
82,"AL, Calhoun, 01015000500",1015000500,"+33.6626267,-085.8451981",0.67337878,0.851687889,0.704247335,0.820907762,0.530255998,0.725948924,0.675711384,0.404892167
83,"AL, Calhoun, 01015000600",1015000600,"+33.6420390,-085.8410175",0.699325312,0.825141484,0.758121646,0.873714626,0.533925908,0.728238839,0.729051553,0.447083126
84,"AL, Calhoun, 01015000700",1015000700,"+33.7077452,-085.7919280",0.662876657,0.809136742,0.716447796,0.733528834,0.439599512,0.732977911,0.746309307,0.462136498
85,"AL, Calhoun, 01015000800",1015000800,"+33.6454724,-085.8270604",0.666991389,0.828414609,0.669649087,0.704437603,0.608112336,0.709157067,0.732571656,0.416597365
86,"AL, Calhoun, 01015000900",1015000900,"+33.6454815,-085.7944733",0.62388719,0.702066106,0.502897886,0.786663726,0.455629248,0.694819205,0.772945387,0.452188771
87,"AL, Calhoun, 01015001000",1015001000,"+33.6346413,-085.7900573",0.613723627,0.675795198,0.50929445,0.664303732,0.488172751,0.700967619,0.80617554,0.451356101
88,"AL, Calhoun, 01015001100",1015001100,"+33.5929064,-085.7859837",0.622077706,0.648346388,0.56402173,0.671925693,0.499943663,0.713469869,0.792534461,0.464302141
89,"AL, Calhoun, 01015001201",1015001201,"+33.6094979,-085.8477704",0.687418246,0.85276078,0.673048831,0.837277685,0.570782569,0.656722037,0.774916264,0.446419555
90,"AL, Calhoun, 01015001202",1015001202,"+33.6104312,-085.8788873",0.64112157,0.761076553,0.58036781,0.686197187,0.546091359,0.680322122,0.776154013,0.457641945
91,"AL, Calhoun, 01015001300",1015001300,"+33.6445961,-085.8731746",0.651538926,0.876600365,0.602195287,0.745123942,0.483563711,0.679764604,0.730162807,0.443361766
92,"AL, Calhoun, 01015001400",1015001400,"+33.6589249,-085.8998049",0.665505388,0.810595222,0.543807238,0.823752218,0.535572634,0.703606633,0.785592187,0.455611582
93,"AL, Calhoun, 01015001500",1015001500,"+33.6143082,-085.9239914",0.6789379,0.784596965,0.620003469,0.814772383,0.555939844,0.693004174,0.809650758,0.474597706
